Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2131,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Nice little elephants
2132,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Well worth the outing
2133,3.0,0.1453,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",the filter and fresh air regulator for nairobi
2134,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Safe Corner of Nairobi
2135,2.0,0.1261,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Bike Riding fun!
2136,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Fantastic walk
2137,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Gorgeous
2138,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Beautiful
2139,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",There are better parks in Kenia
2140,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Beautiful Park
2141,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great view of wildlife 👌
2142,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing!
2143,7.0,0.1261,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Amazing Amouunt of Wildlife Contiguous to Nairobi
2144,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Needs to be more places like this
2145,3.0,0.1198,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",What a wonderful experience!!
2146,1.0,0.1453,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Best place to see wild animals 
2147,1.0,0.1285,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",great animals
2148,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Lovely place for a stroll
2149,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great place
2150,8.0,0.1426,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",A breath of pure and natural air!
2151,7.0,0.1261,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Great spot for a walk in the city
2152,6.0,0.122,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Natural haven
2153,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Great place for walking and jogging
2154,6.0,0.1237,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Nice walk. Plenty of wildlife.
2155,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Excellent work
2156,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned","Good, but too many people"
2157,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",The Best place in Kenya
2158,3.0,0.1285,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",Lovely hour
2159,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing 
2160,0.0,0.1261,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Baby Ellies! Whats not to love?
2161,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",A must see in Nairobi - amazing!
2162,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Nice and interesting
2163,4.0,0.1261,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Absolutely incredible - one of our best safaris!
2164,1.0,0.1237,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",OK for Spending a few Hours but Pricey
2165,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Very Interesting.
2166,2.0,0.1261,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Ok if you are short of time.
2167,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Good park if you have limited time in Nairobi
2168,5.0,0.1261,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Great Time with some elephants
2169,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Very cute, good cause"
2170,7.0,0.141,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply","Heartwarming, amazing conservation project"
2171,5.0,0.1276,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Food for the soul watching these precious orphans
2172,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Sweet and playful orphans
2173,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",So sweet and touching
2174,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",lovely place to visit
2175,6.0,0.1453,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing","On safari, not worth extra time to visit, but definitely worth supporting with your $"
2176,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Well Worth a Visit
2177,0.0,0.1214,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Elephants and rhinos! Fun for kids and adults
2178,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",too cute
2179,5.0,0.1453,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Lovely baby elephants!!!
2180,2.0,0.1176,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Amazing experience
2181,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing
2182,0.0,0.1453,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great opportunity to get up close to giraffes
2183,4.0,0.1264,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Good but not very big
2184,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Well Worth It
2185,0.0,0.1453,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Get close with friendly giraffes
2186,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Interesting place to visit 
2187,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Slobbery kisses available
2188,3.0,0.1426,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort","Great place to see, feed, and learn about giraffes"
2189,8.0,0.1285,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",A nice trip to Nairobi National Park
2190,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing
2191,1.0,0.1285,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Wild in the City
2192,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",A great park on the edge of town
2193,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Spectacular
2194,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Charming wilderness!
2195,2.0,0.1155,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Our first safari experience
2196,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great game reserve to visit
2197,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Good Reserve in the North
2198,6.0,0.1337,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Small park within a beautiful setting and lots of wildlife!
2199,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Green & lusher, my favorite park!"
2200,8.0,0.1242,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare","Great place, not to be missed!"
2201,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Excellent
2202,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",The beauty of giraffes can only be appreciated when they are this close :)
2203,4.0,0.1285,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Good for children
2204,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great to See
2205,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Incredible
2206,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",fantastic
2207,4.0,0.1399,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Worth a trip to see where the migration crosses the river.
2208,7.0,0.1242,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",surprising
2209,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great National Park!
2210,7.0,0.1379,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Wild safari in the land of maneating lions
2211,7.0,0.1285,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Saw everything we wanted but sadly no rhino.
2212,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Beautiful national park
2213,0.0,0.1261,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Stunning colours
2214,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Great for first time Safari....
2215,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Superb
2216,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great park
2217,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Beautiful
2218,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fabulous!
2219,3.0,0.1198,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",A Good Experience
2220,5.0,0.1455,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",An exceptional up close experience with baby elephants
2221,5.0,0.1453,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Loving the baby elephants!!
2222,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Great purpose very overcrowded (still go and have a look) 
2223,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing
2224,4.0,0.1261,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Well organised and secure
2225,3.0,0.13,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",Poor customer service but great Rhino experience
2226,7.0,0.1614,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Great place to see both Black & White Rhino
2227,6.0,0.122,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Main National Park in Kenya
2228,4.0,0.1337,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Wild Africa a stones throw from City
2229,2.0,0.1285,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Great day out
2230,4.0,0.1285,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Fantastic Mt Kenya trek with Polemark
2231,1.0,0.177,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay","Knowledgeable guide, delicious food and a truly memorable adventure."
2232,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Liked this climb better than Kili
2233,8.0,0.1285,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Unforgettable Mt Kenya
2234,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Highly recommended! The most beautiful treck
2235,3.0,0.1176,"experience, view, feed, hour, spend, learn, large, crowd, sight, effort",An amazing experience
2236,2.0,0.1176,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",An Amazing experience overall.
2237,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Excellent..
2238,5.0,0.1285,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Adorable Elephants 
2239,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Superb
2240,4.0,0.1285,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Amazing and fun to watch
2241,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",brilliant
2242,7.0,0.1384,"wildlife, incredible, morning, spot, conservation, real, full, rhino, location, simply",Amazing Experience Supporting An Incredible Organization--Must Visit
2243,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Elephant Fun!
2244,0.0,0.1214,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Cute elephants but limited time and access to them
2245,0.0,0.122,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Good fun for families
2246,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",amazing park
2247,4.0,0.122,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Beautiful Rothschild Giraffe and Vast Kenya Volunteer Safaris
2248,0.0,0.1242,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Fun for the Whole Family
2249,6.0,0.1261,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Definately worth a visit!
2250,0.0,0.1426,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","Small but wonderful giraffe kisses, and great gift shop!"
2251,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Loved the Giraffe Centre
2252,8.0,0.1261,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Giraffes - Upclose and real
2253,1.0,0.1261,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Wild experience
2254,1.0,0.1264,"animal, wild, life, early, magical, scenery, memorable, drive, forest, stay",Beautiful habitat with many animals 
2255,4.0,0.1368,"city, beach, view, lot, game, tour, educational, watch, bird, absolutely",Great game viewing
2256,6.0,0.1399,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing","Beautiful surroundings, back to nature, in total seclusion"
2257,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Great park but.......
2258,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Enjoying nature
